Omzet_Bulanan_Juta_Rp,Laba_Bersih_Bulanan_Juta_Rp,Jumlah_Karyawan,Total_Aset_Juta_Rp,Pencatatan_Keuangan_1_3,Tingkat_Digitalisasi_1_4
130.85,42.78,7,470.53,3,4
6.76,0.69,1,2.09,1,1
24.74,4.91,2,43.79,2,2
22.11,3.98,2,23.28,2,2
1.2,0.24,1,1.23,1,1
20.73,5.29,1,41.98,3,2
1.25,0.13,1,3.44,1,1
3.59,-0.2,1,5.77,1,1
5.81,0.34,1,5.31,2,1
6.78,-0.3,1,9.31,1,1
35.78,8.59,1,13.84,2,3
32.61,7.9,3,88.47,1,2
74.32,22.7,5,306.38,3,3
26.63,5.72,3,39.07,2,2
21.83,6.43,2,86.49,2,3
2.21,0.07,1,4.74,2,1
38.6,9.6,3,79.03,2,2
0.78,0.02,1,2.13,1,2
17.4,4.13,2,41.98,2,2
21.94,3.84,1,28.13,3,3
4.72,0.04,1,8.09,1,1
32.21,8.17,3,24.36,2,3
17.19,4.48,2,97.75,2,2
3.69,0.4,1,7.35,1,1
3.33,-0.28,1,8.28,2,1
118.36,36.69,7,374.56,3,4
6.49,1.38,1,2.2,1,1
18.86,3.12,1,21.88,1,3
45.61,14.02,5,247.56,3,4
0.97,0.12,1,6.06,1,2
146.31,49.85,6,335.82,3,4
31.52,8.9,1,61.59,1,2
30.23,7.71,1,51.88,3,3
18.33,3.63,2,33.4,2,3
150.47,52.15,5,324.29,3,4
21.03,5.07,3,61.45,2,2
4.51,-0.06,1,9.0,1,1
20.5,5.55,3,37.85,2,2
135.1,27.58,9,373.35,3,4
1.85,0.32,1,6.55,1,1
10.14,2.37,2,79.72,2,3
1.93,0.34,1,4.08,1,1
1.56,-0.11,1,6.34,1,1
5.0,1.01,1,4.15,1,1
0.62,0.13,1,9.37,1,2
32.22,5.01,1,86.57,2,2
3.71,0.73,1,9.38,1,1
125.43,33.85,5,189.55,2,4
20.12,3.23,1,94.49,2,2
2.8,0.18,1,1.21,1,1
3.45,-0.02,1,5.58,2,1
12.63,3.68,3,24.1,2,2
22.15,5.69,1,79.65,2,3
39.5,11.52,2,47.45,2,2
48.85,12.25,7,461.02,3,4
6.72,-0.23,1,4.06,1,2
26.31,5.65,2,52.18,2,3
36.21,10.0,1,80.8,2,3
23.99,5.83,1,75.28,2,3
2.6,0.11,1,5.35,1,1
14.29,2.98,1,41.74,2,2
18.98,4.21,1,15.87,2,3
24.22,6.67,1,91.91,3,2
7.67,2.29,1,53.54,2,3
5.1,0.34,1,8.56,1,1
4.9,0.23,1,7.1,1,1
62.89,18.3,10,450.93,3,4
1.27,0.07,1,6.73,1,1
1.55,-0.02,1,5.66,1,1
69.39,14.59,9,426.43,3,4
2.73,-0.12,1,4.47,1,2
26.37,5.47,3,21.45,2,3
27.82,5.94,1,18.47,3,3
36.26,6.92,3,21.01,2,3
0.55,0.12,1,4.83,1,1
4.65,0.89,1,9.51,1,1
8.84,1.96,3,61.0,2,2
24.78,6.78,2,60.98,2,2
114.38,27.08,4,452.2,2,3
1.77,-0.09,1,9.54,1,1
39.47,10.67,3,78.54,3,2
1.87,0.43,1,1.33,2,1
6.13,0.74,1,2.1,1,1
129.0,33.96,9,362.84,3,4
30.58,7.85,1,21.09,2,3
0.91,0.21,1,8.95,1,1
6.34,-0.26,1,1.65,2,1
33.61,8.2,3,52.73,2,3
89.85,30.14,10,260.44,3,3
8.12,1.35,1,65.3,3,3
26.84,7.73,1,17.54,2,2
3.23,0.5,1,7.08,1,1
7.57,1.84,2,17.74,1,3
4.68,0.75,1,9.08,1,1
3.04,0.23,1,8.53,1,1
69.84,18.03,6,100.39,3,3
2.35,0.2,1,7.85,1,2
0.86,0.21,1,8.94,1,2
83.69,26.83,6,483.4,3,4
21.39,4.96,2,93.15,2,3
6.55,-0.39,1,3.18,2,1
4.2,-0.13,1,1.87,1,1
5.6,-0.17,1,1.02,1,2
11.79,1.82,1,39.64,2,3
6.67,-0.14,1,8.33,1,2
29.19,8.69,1,88.82,2,3
120.02,42.5,8,496.85,3,3
33.11,8.13,3,75.15,2,3
32.18,4.96,3,13.93,2,2
30.39,8.11,1,12.06,3,2
25.71,5.41,2,11.25,2,2
5.08,0.11,1,7.59,2,1
0.75,0.11,1,7.85,1,2
4.21,0.03,1,7.39,1,1
2.31,0.17,1,9.51,1,1
3.29,0.59,1,5.59,2,2
92.48,32.74,5,326.36,3,4
4.05,0.39,1,3.15,1,2
6.33,0.38,1,3.27,1,2
98.78,33.19,5,229.6,3,3
37.85,8.16,1,53.2,2,3
57.56,12.28,7,413.98,2,3
6.51,1.49,1,4.09,1,1
4.55,-0.03,1,7.0,1,1
5.3,-0.33,1,7.11,2,1
39.94,6.07,2,61.55,1,3
122.62,43.24,7,460.02,3,3
24.3,5.92,3,16.62,1,3
3.97,0.67,1,7.48,1,1
2.6,0.3,1,9.17,1,1
5.65,0.12,1,2.1,1,1
19.54,5.41,3,73.53,2,2
3.43,0.58,1,5.32,1,2
26.54,7.54,1,51.57,3,2
67.04,22.94,6,361.49,3,3
13.53,3.98,3,75.59,3,3
48.49,16.78,8,387.93,2,4
13.81,4.08,1,99.04,2,2
6.4,-0.58,1,5.14,1,1
25.72,4.14,2,15.19,2,2
5.19,0.47,1,6.31,1,1
1.2,-0.08,1,4.99,2,1
38.5,9.62,3,52.75,2,2
19.56,5.02,3,83.36,3,3
8.85,1.95,1,45.89,3,2
4.65,-0.2,1,7.49,1,1
6.99,1.08,1,6.81,1,1
4.23,-0.01,1,2.38,1,1
18.76,4.01,2,44.17,2,2
38.05,9.2,1,36.94,2,3
69.01,26.86,4,495.0,3,4
5.98,1.14,1,3.06,1,1
9.73,2.15,2,87.25,3,2
154.78,41.44,7,383.0,2,4
1.81,0.21,1,7.08,1,1
159.97,34.77,9,341.55,3,4
106.13,30.22,6,372.18,3,4
29.95,7.08,2,26.86,2,2
13.06,2.07,2,51.83,2,2
2.46,0.26,1,2.11,1,1
5.65,0.74,1,9.27,1,1
5.74,-0.41,1,5.47,1,1
133.73,36.92,4,442.89,3,3
10.22,2.18,2,92.92,3,2
18.27,3.64,3,31.37,2,2
5.66,0.1,1,8.33,1,1
6.95,-0.69,1,7.89,1,1
25.02,3.89,3,84.96,3,2
23.44,5.15,1,12.14,2,2
3.51,0.08,1,3.28,1,1
6.06,0.13,1,5.79,1,1
135.61,46.32,5,134.77,2,4
33.04,5.64,3,46.36,2,2
129.07,30.92,10,295.13,3,4
24.26,4.33,2,44.02,2,3
17.83,5.29,1,70.99,2,2
39.9,6.18,3,27.05,3,2
5.62,-0.37,1,3.7,1,1
133.62,33.8,7,270.63,3,3
5.79,-0.21,1,7.52,1,1
1.91,0.23,1,3.02,1,1
35.96,6.28,3,70.91,2,3
6.93,-0.06,1,5.88,1,1
28.69,5.64,3,54.91,2,2
78.29,19.37,7,195.99,3,4
46.68,14.57,4,478.02,3,3
15.75,2.54,1,75.92,2,3
4.99,0.52,1,5.83,1,1
39.5,9.49,1,17.66,2,2
2.44,0.0,1,7.27,2,1
18.56,5.4,1,51.52,2,2
39.72,11.4,2,34.0,2,2
6.35,1.14,1,7.71,1,1
6.62,0.29,1,5.57,1,1
2.51,0.2,1,8.16,1,2
45.37,17.29,6,373.39,3,4
9.81,2.82,1,30.12,3,2
19.1,3.29,3,58.27,2,2
18.82,4.98,2,62.35,2,2
29.76,8.1,2,79.02,3,3
6.26,0.42,1,3.12,1,1
1.15,0.26,1,5.95,1,1
1.57,0.11,1,9.91,2,1
2.0,0.24,1,9.73,1,2
39.22,9.54,3,25.11,1,2
22.52,3.84,3,87.97,2,2
30.65,4.79,3,96.71,2,2
0.98,-0.07,1,5.79,2,1
26.85,7.96,2,88.67,2,3
3.86,0.66,1,8.55,1,1
4.41,-0.09,1,3.9,1,1
5.77,0.36,1,1.29,1,1
110.06,30.98,3,482.86,3,3
19.01,3.17,3,46.72,1,2
21.95,5.46,2,83.67,2,3
148.14,50.57,9,132.85,2,4
95.04,24.87,10,379.27,2,3
158.52,52.21,6,400.39,3,4
34.47,10.08,1,27.49,2,3
5.51,-0.28,1,5.54,1,1
69.66,20.33,8,494.38,3,4
1.25,-0.03,1,4.2,1,1
2.33,0.38,1,7.63,1,1
24.97,7.01,2,38.02,2,2
0.74,-0.05,1,4.31,1,1
30.52,6.33,1,59.49,3,2
38.73,11.08,1,30.46,2,2
3.04,0.64,1,5.87,1,1
116.87,30.55,7,453.14,3,4
17.31,4.42,1,42.49,2,3
5.4,-0.16,1,5.39,1,1
3.73,0.64,1,8.63,1,1
6.27,0.61,1,7.05,2,1
22.52,3.4,3,53.93,2,2
20.12,3.18,3,78.62,1,3
1.18,0.01,1,4.26,1,1
6.64,-0.28,1,1.92,1,2
3.87,-0.19,1,9.89,1,2
25.42,4.57,3,93.07,2,2
27.02,5.54,1,93.24,2,3
4.84,0.72,1,3.07,1,1
18.45,3.3,3,87.67,1,3
6.7,1.63,1,5.57,1,2
14.41,4.03,1,73.56,2,2
100.15,20.61,5,191.91,3,4
4.16,1.0,1,6.06,1,1
25.49,6.63,2,42.73,2,3
26.52,5.93,1,30.76,3,2
2.92,-0.24,1,6.35,1,1
4.18,0.75,1,5.07,1,1
146.43,33.41,7,494.85,3,4
15.07,2.95,2,48.53,3,3
0.73,0.07,1,7.52,1,1
34.93,5.42,2,41.16,2,2
7.0,0.39,1,2.89,1,1
36.24,10.29,2,84.37,3,3
32.44,4.87,1,29.66,2,2
11.93,3.24,3,48.36,2,3
4.02,0.21,1,7.77,2,1
5.24,0.05,1,9.76,1,1
1.27,0.14,1,9.94,2,1
2.47,0.62,1,3.5,2,2
36.2,8.79,3,96.31,3,3
2.99,0.44,1,4.16,2,1
3.43,-0.2,1,5.32,1,1
5.19,-0.26,1,1.15,1,2
20.82,3.64,2,40.03,2,3
1.62,0.1,1,2.21,1,1
31.05,7.44,2,69.38,2,3
4.57,-0.25,1,2.86,1,1
3.48,0.38,1,1.18,2,1
5.47,-0.36,1,6.06,1,1
5.02,1.1,1,3.01,1,1
1.54,0.27,1,3.59,1,2
43.1,11.97,6,399.41,3,4
5.87,0.99,1,4.85,1,1
136.72,37.49,4,424.43,3,4
57.56,12.54,6,445.13,3,3
140.3,41.0,5,283.15,3,3
2.03,0.35,1,9.78,1,1
0.67,-0.04,1,9.98,1,1
4.7,0.97,1,1.88,1,1
20.32,3.53,2,29.77,2,2
3.98,0.52,1,5.93,2,1
28.35,8.11,3,67.71,2,2
2.76,-0.21,1,9.75,1,1
0.98,0.02,1,8.2,1,2
6.27,0.98,1,4.72,1,1
2.02,-0.16,1,3.94,1,2
5.21,0.34,1,3.6,1,1
2.21,0.42,1,8.48,1,1
18.31,3.88,3,64.71,1,3
8.08,2.36,1,62.95,1,2
19.23,4.47,1,89.83,2,2
30.74,6.08,3,35.5,3,2
1.65,0.36,1,6.39,1,2
5.12,0.64,1,2.67,2,1
1.86,0.07,1,7.16,1,1
6.91,0.72,1,4.09,1,1
1.03,-0.02,1,1.44,1,1
95.02,19.92,9,417.92,3,3
37.95,11.21,3,52.08,2,2
38.5,6.87,3,27.93,2,3
5.61,0.32,1,4.38,2,1
6.09,1.42,1,1.37,1,1
3.56,-0.14,1,5.98,1,1
2.16,0.44,1,6.66,1,2
10.03,1.89,2,35.64,1,2
50.14,17.99,6,170.81,3,3
19.04,3.59,3,25.87,2,3
6.11,1.48,1,1.09,1,1
35.48,9.43,3,16.05,2,2
79.22,31.6,4,465.74,3,3
1.38,0.26,1,1.71,1,1
27.5,6.18,3,70.38,2,3
10.54,2.93,3,23.12,2,2
13.85,3.14,3,30.65,2,3
13.24,3.3,1,27.38,3,3
28.43,7.57,2,38.59,2,2
1.97,0.34,1,5.1,1,2
4.22,0.91,1,9.19,1,1
4.82,0.41,1,5.21,1,1
2.18,0.34,1,9.2,1,2
47.92,13.85,6,399.18,3,4
38.09,7.69,3,81.01,2,3
3.96,0.42,1,5.02,1,1
8.29,1.98,1,10.29,1,2
5.63,1.16,1,4.35,1,1
18.19,3.56,1,48.41,2,2
12.13,1.93,1,40.92,2,3
39.16,5.93,3,39.27,2,2
0.55,0.07,1,2.69,2,1
4.1,0.32,1,5.65,1,1
4.95,-0.24,1,1.46,1,1
9.3,2.01,3,38.46,2,2
27.33,6.32,1,77.62,2,3
3.05,-0.21,1,1.51,1,2
5.04,1.05,1,8.08,1,2
1.9,-0.08,1,3.37,1,2
11.31,2.1,2,68.47,2,2
4.28,0.08,1,3.94,1,1
39.78,10.88,3,30.79,2,2
1.93,0.35,1,1.65,1,1
7.75,1.77,3,32.17,2,2
113.29,37.1,5,398.66,3,3
6.24,0.71,1,2.95,1,2
3.79,0.8,1,8.32,1,2
5.1,-0.04,1,8.15,1,1
25.04,7.19,2,19.25,3,2
1.18,-0.02,1,9.04,1,1
31.81,6.28,2,62.52,2,2
5.14,-0.48,1,9.15,1,1
13.12,3.92,3,79.96,2,2
37.98,11.25,1,29.64,3,2
35.22,8.51,3,17.93,2,3
4.51,0.37,1,3.51,1,1
4.16,0.22,1,2.13,1,1
13.61,2.71,2,56.04,3,2
47.89,15.1,4,202.83,3,3
6.6,-0.28,1,9.96,1,1
2.66,0.45,1,7.68,1,1
8.85,2.52,1,75.91,2,3
31.92,5.75,2,61.2,2,3
22.13,3.96,3,50.68,3,3
5.97,1.4,1,4.1,1,1
17.23,3.9,3,89.98,3,2
3.16,0.0,1,2.75,1,1
16.38,3.29,3,37.7,2,2
6.22,0.47,1,1.03,1,1
1.8,-0.07,1,6.0,1,1
3.18,-0.09,1,4.21,1,1
25.43,5.15,2,39.4,2,2
34.7,5.54,1,36.29,2,3
4.62,0.7,1,4.27,2,1
2.16,0.04,1,2.47,2,1
4.5,0.45,1,1.3,2,1
7.85,2.28,3,45.64,3,3
23.89,6.35,1,87.79,3,2
5.92,1.27,1,1.18,1,2
17.55,4.24,1,71.89,3,3
35.28,5.55,3,15.07,2,2
28.07,6.66,1,54.43,3,2
2.89,0.25,1,9.37,1,1
4.4,-0.27,1,8.34,1,1
8.69,2.56,3,76.28,2,2
36.78,10.28,1,92.16,3,2
4.96,1.16,1,2.83,1,1
37.9,9.79,1,54.18,2,2
22.68,4.62,3,34.39,2,3
6.73,-0.58,1,2.73,1,2
107.52,37.09,4,229.52,3,4
100.71,39.44,8,432.39,3,3
39.19,10.93,3,74.55,2,3
4.27,0.73,1,7.66,1,1
29.97,6.58,1,47.81,2,3
5.32,0.41,1,2.32,1,1
5.93,1.32,1,4.37,1,1
3.31,-0.27,1,4.47,1,1
4.28,0.34,1,1.15,1,1
2.39,0.44,1,1.97,1,1
5.08,0.04,1,1.44,1,1
7.6,1.39,2,41.38,2,3
21.44,5.69,1,15.77,2,3
105.14,22.74,9,141.18,3,3
3.58,0.18,1,9.62,1,1
30.76,6.0,2,50.94,2,2
3.02,0.19,1,6.42,1,2
9.44,2.65,2,22.14,2,3
35.09,7.68,1,55.41,2,2
3.71,0.75,1,5.38,1,1
1.58,0.03,1,2.32,1,1
5.61,0.12,1,1.3,1,1
24.42,3.87,3,63.62,3,2
6.7,0.01,1,1.68,1,2
76.61,27.47,8,152.22,3,4
3.4,0.81,1,7.93,1,2
10.73,2.19,2,97.31,2,2
39.84,6.13,2,82.07,3,2
1.7,0.18,1,4.26,2,1
29.73,5.12,1,29.61,2,2
6.3,1.21,1,1.96,1,1
18.56,3.53,3,83.14,2,2
4.24,0.0,1,6.65,1,1
4.36,-0.14,1,9.56,1,2
19.43,5.6,1,89.52,2,2
12.14,3.06,2,36.5,3,3
3.37,-0.33,1,5.68,1,2
6.35,0.64,1,6.7,1,1
5.77,0.77,1,3.93,1,1
151.96,54.62,7,298.77,2,3
99.67,24.36,10,350.25,2,3
39.44,7.7,2,82.31,2,3
26.75,8.02,3,35.02,3,2
18.99,5.04,3,96.78,2,2
13.92,2.7,2,85.96,3,2
2.71,-0.23,1,4.22,1,1
3.94,0.74,1,5.51,1,1
2.78,0.21,1,8.96,1,1
4.54,0.0,1,6.28,1,1
28.55,7.82,2,58.12,3,3
0.78,0.13,1,1.68,1,2
15.73,3.94,1,67.39,3,2
6.9,-0.59,1,2.65,2,1
1.94,0.3,1,9.52,1,1
28.05,7.36,1,64.31,1,2
24.11,6.06,2,83.24,3,2
29.93,8.88,1,88.14,2,2
1.93,0.43,1,5.31,1,1
109.36,27.43,7,222.79,3,3
155.68,31.75,8,204.02,2,3
20.27,4.4,3,89.95,3,3
16.7,2.57,2,26.12,2,2
23.75,6.04,1,98.16,2,2
1.02,-0.06,1,6.56,1,1
20.35,5.94,2,42.27,3,3
19.15,3.75,1,30.33,1,3
68.08,21.4,8,211.21,3,4
3.97,0.91,1,4.91,1,1
139.12,28.81,6,133.56,3,4
129.87,33.83,4,207.36,3,4
6.16,0.29,1,4.18,1,1
20.48,3.74,2,99.05,2,3
1.35,-0.05,1,3.95,1,1
6.37,0.28,1,4.99,1,1
5.18,0.67,1,2.81,1,1
3.71,0.84,1,4.31,1,1
8.78,1.86,2,85.11,3,2
0.57,0.0,1,2.04,1,1
2.53,0.5,1,9.97,1,1
66.01,23.22,7,210.01,3,3
4.4,0.65,1,2.0,1,1
2.81,0.01,1,7.87,1,1
6.96,-0.5,1,8.19,1,2
6.63,-0.26,1,7.92,1,1
16.13,4.09,2,30.29,2,3
34.6,7.41,3,49.31,3,2
39.52,6.71,1,62.85,2,2
30.16,7.44,3,53.35,2,2
3.06,0.47,1,2.48,1,1
75.93,23.22,6,353.94,3,3
20.24,4.19,3,84.48,2,3
1.96,0.28,1,4.52,1,1
6.67,1.54,1,2.23,1,1
4.35,0.03,1,8.17,1,1
2.9,0.72,1,3.97,1,2
2.34,0.22,1,5.64,1,2
15.17,2.9,1,55.15,1,2
23.14,4.22,1,11.73,3,2
4.77,0.33,1,5.22,1,1
1.86,0.3,1,1.72,1,1
6.96,1.42,1,8.64,1,1
26.56,7.32,1,82.67,3,3
6.23,0.69,1,5.3,1,2
109.71,43.25,5,467.97,3,3
2.06,-0.2,1,6.33,1,1
14.4,2.94,1,53.55,3,3
4.81,0.05,1,4.18,1,1
4.42,0.08,1,6.2,1,2
2.01,-0.04,1,7.97,1,1
5.9,1.35,1,8.47,1,1
80.62,27.71,5,229.33,2,3
30.11,7.6,1,91.45,1,2
6.21,-0.12,1,7.82,1,2
6.53,0.02,1,1.88,1,1
6.63,-0.17,1,3.47,1,1
29.63,7.69,3,44.31,3,2
5.83,0.17,1,9.55,1,1
1.99,0.08,1,3.28,1,2
5.63,0.5,1,9.54,1,1
6.62,1.21,1,5.1,1,1
2.7,-0.16,1,2.29,1,1
156.8,40.71,10,147.31,2,3
146.09,56.89,3,140.86,3,3
1.46,-0.08,1,2.04,1,1
28.57,6.85,2,24.45,2,2
16.87,4.09,3,33.24,1,2
2.06,0.06,1,3.34,1,1
3.28,0.38,1,3.69,1,1
15.06,3.55,3,42.45,2,2
149.3,37.05,3,329.59,2,4
1.19,0.09,1,9.18,1,1
11.09,2.25,3,91.07,3,3
6.89,0.61,1,8.5,1,1
13.14,3.06,3,74.19,2,3
1.8,-0.1,1,3.09,1,1
38.2,8.82,1,43.38,3,3
3.64,0.7,1,6.43,1,1
5.25,1.26,1,5.38,1,2
3.05,0.55,1,6.72,1,1
0.89,0.13,1,8.71,1,1
1.86,0.09,1,9.63,2,1
87.43,26.13,10,153.32,3,4
3.29,0.59,1,3.17,1,1
30.68,5.95,2,56.55,3,2
2.46,0.08,1,3.74,1,1
5.09,1.11,1,5.9,1,1
0.52,-0.04,1,5.28,1,1
4.44,0.31,1,3.6,1,1
113.08,27.99,4,263.07,3,3
36.44,10.73,1,29.63,2,2
19.92,3.33,2,38.27,3,2
19.8,5.87,1,17.46,3,2
24.81,4.22,2,83.53,2,2
38.65,8.67,1,89.7,2,3
5.4,0.41,1,8.19,1,2
0.94,0.17,1,8.43,1,2
35.69,8.09,3,78.84,2,3
5.88,-0.46,1,3.28,1,1
3.07,0.31,1,7.31,1,1
20.41,5.49,2,82.37,2,2
126.25,35.74,5,295.0,3,3
14.45,4.16,1,84.13,2,3
51.1,15.37,10,318.23,3,4
3.39,-0.26,1,5.25,1,1
16.94,4.13,3,42.34,3,3
3.43,-0.15,1,7.05,1,1
6.01,1.06,1,2.77,1,1
6.74,-0.56,1,8.64,1,1
33.18,7.73,3,48.23,3,3
5.4,0.65,1,5.24,1,2
69.99,25.57,4,435.4,3,3
2.0,0.22,1,5.92,1,1
17.37,4.8,3,61.67,2,2
3.78,-0.26,1,6.1,2,1
27.42,5.75,3,52.37,2,2
6.52,0.07,1,7.23,1,1
32.23,9.24,2,96.31,2,2
21.32,3.75,1,22.36,2,3
5.64,-0.27,1,2.16,1,1
3.58,-0.28,1,3.78,1,2
53.14,13.71,10,212.49,3,4
6.45,0.92,1,5.98,2,1
4.2,0.84,1,4.75,2,1
41.46,9.89,3,399.43,3,3
2.08,0.06,1,3.5,1,2
2.8,0.24,1,1.64,1,1
2.34,0.3,1,3.65,1,1
39.29,7.05,1,93.67,2,2
5.15,0.03,1,3.34,1,1
4.62,1.11,1,1.11,1,1
74.8,20.79,4,364.65,3,3
0.98,0.07,1,4.0,1,1
7.62,1.91,3,42.69,3,2
4.68,0.41,1,1.25,1,1
20.32,3.58,2,95.23,2,2
6.53,1.42,1,7.64,1,1
6.34,1.13,1,5.4,1,1
1.7,0.13,1,3.66,2,2
74.04,23.27,6,314.46,2,3
151.86,31.48,3,102.7,2,4
115.84,33.49,6,114.3,2,3
126.53,46.87,9,331.41,2,4
0.84,-0.03,1,2.11,1,1
29.38,7.5,2,73.09,2,3
61.57,23.98,6,258.13,3,3
5.45,1.01,1,1.91,1,1
1.19,0.23,1,9.11,1,2
18.48,3.9,2,79.08,2,2
2.99,0.37,1,8.73,1,1
2.86,-0.16,1,6.25,1,1
24.19,6.36,1,49.88,2,3
13.09,2.38,1,81.93,2,2
25.58,4.22,2,36.04,1,3
23.42,6.87,2,29.78,2,2
28.97,8.52,1,22.75,2,2
3.59,0.34,1,9.1,1,1
29.84,5.06,1,75.98,1,3
139.72,55.32,9,491.87,3,4
11.58,1.94,3,53.74,1,2
156.5,60.75,3,497.87,2,3
28.08,4.94,2,21.09,2,2
12.17,3.04,2,18.41,2,3
48.99,16.77,6,277.49,3,3
4.63,0.16,1,9.97,1,1
112.39,41.86,3,371.05,3,3
0.84,-0.07,1,1.91,1,2
80.45,19.62,6,231.15,2,3
6.66,0.39,1,3.24,1,2
5.0,0.49,1,6.71,1,1
25.76,7.26,2,23.98,3,3
2.82,0.11,1,4.4,1,1
8.57,2.01,1,90.52,3,2
20.28,5.4,1,53.26,2,2
70.63,19.98,4,462.36,3,3
5.84,1.22,1,3.26,1,1
4.66,-0.33,1,1.55,1,2
6.06,0.82,1,5.38,1,2
28.88,6.05,1,65.36,3,2
4.91,0.56,1,1.57,1,1
1.8,0.12,1,5.48,1,1
0.68,0.1,1,7.5,1,1
3.11,-0.12,1,5.71,1,1
2.66,0.22,1,6.23,1,1
4.52,0.78,1,5.53,1,2
1.59,-0.15,1,9.14,1,1
53.7,21.23,4,383.75,3,3
137.47,46.88,9,337.96,3,4
1.14,-0.08,1,8.81,1,2
60.54,13.84,9,247.25,3,3
152.38,52.08,4,483.94,3,4
2.28,-0.12,1,6.42,1,1
63.87,13.18,7,287.91,2,3
13.7,3.81,3,32.03,2,2
39.66,8.17,3,77.06,2,2
